Month,Province,Vehicle_type,Cause,Weather_condition,Slope_description
December,Phra Nakhon Si Ayutthaya,4-wheel pickup truck,speeding,clear,no slope
December,Maha Sarakham,motorcycle,cutting in closely by people/vehicles/animals,clear,no slope
December,Nakhon Nayok,motorcycle,speeding,clear,no slope
December,Nan,private/passenger car,failure to yield/signal,clear,other
December,Bangkok,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Tak,4-wheel pickup truck,driving under the influence of alcohol,clear,no slope
December,Nakhon Phanom,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Nong Bua Lam Phu,motorcycle,cutting in closely by people/vehicles/animals,clear,other
December,Chon Buri,private/passenger car,cutting in closely by people/vehicles/animals,clear,no slope
December,Songkhla,motorcycle,speeding,clear,other
December,Samut Songkhram,4-wheel pickup truck,speeding,clear,no slope
